reservation_id,customer_id,date,time_slot,party_size,status,table_id
R0061,C018,2026-09-09,12:00,2,confirmed,T17
R0062,C012,2026-09-09,13:00,1,offer_sent,T08
R0063,C012,2026-09-09,13:00,3,offer_sent,T06
R0064,C015,2026-09-09,13:00,5,cancelled,T10
R0065,C005,2026-09-09,18:00,3,cancelled,T04
R0066,C004,2026-09-09,18:00,6,cancelled,T18
R0067,C011,2026-09-09,19:00,2,cancelled,T09
R0068,C017,2026-09-09,19:00,4,confirmed,T09
R0069,C002,2026-09-09,20:00,1,confirmed,T11
R0070,C005,2026-09-09,20:00,6,confirmed,T09
R0071,C006,2026-09-09,20:00,6,cancelled,T15
R0072,C003,2026-09-09,21:00,6,confirmed,T05
R0073,C019,2026-09-10,12:00,5,confirmed,T05
R0074,C014,2026-09-10,12:00,2,confirmed,T02
R0075,C002,2026-09-10,13:00,3,cancelled,T07
R0076,C008,2026-09-10,13:00,6,cancelled,T04
R0077,C012,2026-09-10,13:00,5,confirmed,T14
R0078,C020,2026-09-10,13:00,6,confirmed,T05
R0079,C001,2026-09-10,18:00,2,confirmed,T11
R0080,C014,2026-09-10,18:00,6,cancelled,T08
R0081,C009,2026-09-10,18:00,2,confirmed,T04
R0082,C013,2026-09-10,18:00,1,confirmed,T16
R0083,C012,2026-09-10,19:00,3,notified,T08
R0084,C008,2026-09-10,19:00,1,notified,T07
R0085,C003,2026-09-10,20:00,3,confirmed,T12
R0086,C017,2026-09-10,20:00,4,cancelled,T18
R0087,C011,2026-09-10,20:00,1,confirmed,T04
R0088,C004,2026-09-10,21:00,5,cancelled,T14
R0089,C012,2026-09-10,21:00,6,cancelled,T11
R0090,C009,2026-09-11,12:00,1,offer_sent,T14
R0091,C001,2026-09-11,12:00,5,offer_sent,T18
R0092,C007,2026-09-11,12:00,3,cancelled,T14
R0093,C003,2026-09-11,12:00,6,cancelled,T11
R0094,C014,2026-09-11,13:00,3,confirmed,T13
R0095,C010,2026-09-11,13:00,5,cancelled,T05
R0096,C007,2026-09-11,13:00,4,cancelled,T13
R0097,C006,2026-09-11,13:00,5,confirmed,T19
R0098,C010,2026-09-11,18:00,2,offer_sent,T14
R0099,C019,2026-09-11,18:00,5,confirmed,T11
R0100,C015,2026-09-11,19:00,6,confirmed,T07
R0101,C017,2026-09-11,19:00,4,cancelled,T06
R0102,C003,2026-09-11,19:00,3,confirmed,T17
R0103,C020,2026-09-11,19:00,3,confirmed,T03
R0104,C005,2026-09-11,20:00,1,confirmed,T02
R0105,C015,2026-09-11,21:00,4,cancelled,T19
R0106,C007,2026-09-11,21:00,6,cancelled,T13
R0107,C016,2026-09-11,21:00,4,cancelled,T08
R9003,C002,2026-09-05,18:00,2,offer_sent,T06
